prediction_id,sector,old_fund_code,old_fund_name,new_fund_code,new_fund_name,reset_verified
2312,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,False
2319,上证指数,159943,,510210,上证指数ETF富国,True
2326,红利,512890,红利低波ETF华泰柏瑞,515180,红利 ETF 易方达,True
2335,存储,515000,科技ETF华宝,159995,华夏国证半导体芯片ETF,False
2339,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,True
2343,红利,512890,红利低波ETF华泰柏瑞,515180,红利 ETF 易方达,True
2360,创业板,159527,云计算ETF广发,159915,创业板ETF易方达,True
2364,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,True
2368,煤炭,003033,,515220,煤炭 ETF 国泰,True
2370,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,True
2373,创业板,159527,云计算ETF广发,159915,创业板ETF易方达,True
2377,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,False
2390,有色金属,003033,,512400,有色 ETF 南方,True
2391,存储,515000,科技ETF华宝,159995,华夏国证半导体芯片ETF,True
2392,设备,515700,新能源车ETF平安,159516,半导体设备ETF,True
2393,有色金属,003033,,512400,有色 ETF 南方,True
2398,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,True
2403,大盘,159527,云计算ETF广发,510300,沪深300ETF华泰柏瑞,True
2407,创业板,159527,云计算ETF广发,159915,创业板ETF易方达,False
2414,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,False
2426,创业板,508031,国泰海通城投宽庭保租房REIT,159915,创业板ETF易方达,True
2429,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,True
2435,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,False
2441,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,False
2446,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,True
2447,有色金属,003033,,512400,有色 ETF 南方,True
2448,传媒,512980,传媒ETF,159805,传媒ETF鹏华,True
2458,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,True
2462,大盘,508031,国泰海通城投宽庭保租房REIT,510300,沪深300ETF华泰柏瑞,True
2468,大盘,510050,上证50ETF,510300,沪深300ETF华泰柏瑞,True
2476,大盘,510050,上证50ETF华夏,510300,沪深300ETF华泰柏瑞,True
